Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM	Tissue_specific
FSIP1	FLJ35989	ENSG00000150667	Fibrous sheath interacting protein 1	15	39600031-39782830	Predicted intracellular proteins	Evidence at protein level	HPA041002	Uncertain	NA	Uncertain	Nucleoplasm	NA	Tissue enriched	Group enriched	7	colon: 11.2;rectum: 18.4;testis: 13.6	breast: 2.2	Mixed	NA	NA	Colon
GALNT8	GALNAC-T8	ENSG00000130035	Polypeptide N-acetylgalactosaminyltransferase 8	12	4720341-4851927	Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA012638, HPA014418, HPA073461	Approved	NA	Approved	Vesicles	NA	Tissue enhanced	Group enriched	7	cerebral cortex: 19.4;colon: 17.6;duodenum: 8.1;rectum: 40.6;small intestine: 18.9;testis: 26.5	appendix: 3.2	Cell line enhanced	NA	Karpas-707: 24.5;NTERA-2: 12.1;U-2 OS: 4.6;U-266/84: 7.3	Colon
LRRC26	bA350O14.10	ENSG00000184709	Leucine rich repeat containing 26	9	137168758-137170051	Predicted membrane proteins	Evidence at protein level	HPA056312	Approved	NA	Supported	Nucleoli fibrillar center<br>Plasma membrane	Endometrial cancer:4.82e-6 (favourable), Stomach cancer:3.48e-4 (favourable)	Tissue enriched	Group enriched	7	colon: 10.2;prostate: 35.5;salivary gland: 26.5	small intestine: 3.5	Group enriched	10	REH: 18.9;RPMI-8226: 87.4	Colon
PHGR1	NA	ENSG00000233041	Proline, histidine and glycine rich 1	15	40351033-40356434	Predicted intracellular proteins	Evidence at protein level	HPA068787	Enhanced	NA	Approved	Vesicles	Breast cancer:2.05e-4 (favourable)	Group enriched	Group enriched	7	colon: 1448.4;duodenum: 892.1;rectum: 399.5;small intestine: 1777.5	stomach: 166.8	Cell line enhanced	NA	BEWO: 12.3;HaCaT: 16.0;SCLC-21H: 72.5	Colon
PPP1R14D	CPI17-like, FLJ20251, GBPI-1, MGC119014, MGC119016	ENSG00000166143	Protein phosphatase 1 regulatory inhibitor subunit 14D	15	40815445-40828709	Predicted intracellular proteins	Evidence at protein level	HPA041846	Uncertain	NA	NA	NA	Renal cancer:3.07e-4 (unfavourable)	Tissue enhanced	Group enriched	7	colon: 105.5;duodenum: 111.1;gallbladder: 24.2;rectum: 100.0;small intestine: 89.8	appendix: 12.4	Cell line enhanced	NA	RPMI-8226: 2.1;RT4: 1.5;U-266/84: 1.4	Colon
SH2D7	LOC646892	ENSG00000183476	SH2 domain containing 7	15	78077808-78104909	Predicted intracellular proteins	Evidence at transcript level	HPA051320	Approved	NA	NA	NA	NA	Mixed	Group enriched	7	colon: 1.6;duodenum: 2.1;small intestine: 1.9;testis: 5.7	cerebral cortex: 0.4	Cell line enhanced	NA	SH-SY5Y: 1.4	Colon
VIL1	D2S1471, VIL	ENSG00000127831	Villin 1	2	218419092-218453295	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB002452, HPA006884, HPA006885	Enhanced	NA	Enhanced	Plasma membrane	NA	Tissue enhanced	Group enriched	7	colon: 173.7;duodenum: 398.5;rectum: 199.6;small intestine: 480.0	gallbladder: 44.7	Group enriched	91	CACO-2: 628.4;Hep G2: 245.1	Colon
AMN	amnionless	ENSG00000166126	Amnion associated transmembrane protein	14	102922656-102933596	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA000817	Approved	NA	NA	NA	Renal cancer:9.62e-5 (favourable)	Mixed	Group enriched	6	colon: 20.0;duodenum: 34.2;kidney: 29.0;small intestine: 70.6	liver: 6.7	Cell line enhanced	NA	CACO-2: 6.8;Hep G2: 5.6;U-698: 3.0	Colon
BTNL8	BTN9.2, FLJ21458	ENSG00000113303	Butyrophilin like 8	5	180899077-180950906	Predicted membrane proteins	Evidence at protein level	HPA039738	Approved	NA	NA	NA	NA	Group enriched	Group enriched	6	colon: 26.1;duodenum: 117.4;rectum: 27.7;small intestine: 94.2	gallbladder: 10.4	Cell line enriched	26	CACO-2: 31.4	Colon
CASP5	ICE(rel)III	ENSG00000137757	Caspase 5	11	104994235-105023168	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA040937	Uncertain	NA	NA	NA	NA	Group enriched	Group enriched	6	appendix: 20.2;colon: 15.9;duodenum: 10.1;rectum: 14.5;small intestine: 18.9	smooth muscle: 2.7	Cell line enriched	8	HHSteC: 3.1	Colon
CDX2	CDX3	ENSG00000165556	Caudal type homeobox 2	13	27962137-27971139	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB002221, HPA045669, HPA049580	Enhanced	NA	Supported	Nucleoplasm	NA	Tissue enriched	Group enriched	6	colon: 30.8;duodenum: 22.3;rectum: 24.9;small intestine: 30.2	appendix: 4.7	Cell line enhanced	NA	CACO-2: 9.4;CAPAN-2: 3.3;HEK93: 5.6	Colon
CEACAM6	CD66c, NCA	ENSG00000086548	Carcinoembryonic antigen related cell adhesion molecule 6	19	41750977-41772208	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB008370, HPA011041	Enhanced	NA	NA	NA	NA	Mixed	Group enriched	6	bone marrow: 110.7;colon: 180.6;esophagus: 173.5;gallbladder: 189.0;lung: 405.6;rectum: 233.8	appendix: 37.6	Cell line enriched	9	A549: 140.1	Colon
CLCA4	CaCC2	ENSG00000016602	Chloride channel accessory 4	1	86547078-86580754	Predicted membrane proteins	Evidence at protein level	HPA017045	Uncertain	NA	NA	NA	Colorectal cancer:7.47e-4 (favourable), Head and neck cancer:8.63e-4 (favourable)	Tissue enhanced	Group enriched	6	colon: 249.5;esophagus: 365.5;rectum: 158.4	urinary bladder: 41.0	Cell line enriched	1215	RT4: 342.2	Colon
EFNA2	ELF-1, EPLG6, LERK6	ENSG00000099617	Ephrin A2	19	1286154-1300237	Cancer-related genes, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB005178, HPA067567	Uncertain	NA	Approved	Mitochondria<br>Cytosol	NA	Tissue enhanced	Group enriched	6	colon: 7.0;duodenum: 7.9;small intestine: 10.6	rectum: 1.5	Cell line enhanced	NA	Hep G2: 6.6;NTERA-2: 5.4;REH: 6.8;SH-SY5Y: 17.8;U-2 OS: 5.8	Colon
HAVCR1	CD365, HAVCR, HAVCR-1, KIM1, TIM-1, TIM1, TIMD1	ENSG00000113249	Hepatitis A virus cellular receptor 1	5	157029413-157059119	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007173, CAB075697	Approved	NA	Approved	Vesicles	Urothelial cancer:1.32e-4 (favourable), Stomach cancer:7.81e-4 (unfavourable)	Tissue enriched	Group enriched	6	colon: 4.8;kidney: 8.3;rectum: 4.1;testis: 1.7	gallbladder: 0.8	Group enriched	5	A549: 86.4;CACO-2: 95.7;RPTEC TERT1: 33.8	Colon
HNF4A	HNF4, MODY, MODY1, NR2A1, TCF14	ENSG00000101076	Hepatocyte nuclear factor 4 alpha	20	44355700-44434596	Disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004712, CAB019417	Enhanced	NA	Supported	Nucleoplasm	NA	Tissue enhanced	Group enriched	6	colon: 58.0;duodenum: 103.0;kidney: 44.7;liver: 51.0;rectum: 47.8;small intestine: 90.9;stomach: 21.9	gallbladder: 9.2	Group enriched	8	CACO-2: 126.0;Hep G2: 77.0	Colon
IHH	BDA1, HHG2	ENSG00000163501	Indian hedgehog	2	219054420-219060467	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	Endometrial cancer:3.67e-6 (favourable)	Tissue enhanced	Group enriched	6	cervix, uterine: 8.9;colon: 21.0;duodenum: 14.9;endometrium: 31.4;rectum: 16.7;small intestine: 16.5;stomach: 15.3	prostate: 3.2	Cell line enriched	11	CACO-2: 16.8	Colon
LINC01207	NA	ENSG00000248771	Long intergenic non-protein coding RNA 1207	4	164754064-164803795	Predicted secreted proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Group enriched	6	cervix, uterine: 4.4;colon: 6.3;duodenum: 10.5;gallbladder: 6.2;prostate: 9.0;rectum: 7.8;small intestine: 12.4	appendix: 1.4	Not detected	NA	NA	Colon
MISP	C19orf21, Caprice, DKFZp686H18209, MISP1	ENSG00000099812	Mitotic spindle positioning	19	751126-764318	Predicted intracellular proteins	Evidence at protein level	HPA049511, HPA062232	Enhanced	NA	Enhanced	Plasma membrane<br>Focal adhesion sites	NA	Tissue enhanced	Group enriched	6	colon: 94.7;duodenum: 173.3;rectum: 52.6;small intestine: 217.1	stomach: 21.6	Cell line enhanced	NA	A549: 110.0;HaCaT: 79.4;hTCEpi: 59.7;SK-BR-3: 101.1	Colon
MOGAT3	DC7, DGAT2L2, MGAT3	ENSG00000106384	Monoacylglycerol O-acyltransferase 3	7	101195007-101201021	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA011940	Uncertain	NA	Approved	Centrosome	NA	Tissue enhanced	Group enriched	6	colon: 11.3;duodenum: 30.4;rectum: 11.9;small intestine: 33.6	liver: 3.4	Cell line enhanced	NA	CACO-2: 2.9;Hep G2: 8.1	Colon
MUC13	DRCC1	ENSG00000173702	Mucin 13, cell surface associated	3	124905442-124953819	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA045163	Enhanced	NA	NA	NA	Renal cancer:9.73e-5 (unfavourable)	Tissue enhanced	Group enriched	6	colon: 301.8;duodenum: 614.7;rectum: 330.1;small intestine: 555.7	appendix: 79.5	Cell line enhanced	NA	A549: 6.6;CACO-2: 5.3;CAPAN-2: 11.9;Karpas-707: 5.6	Colon
NEU4	NA	ENSG00000204099	Neuraminidase 4	2	241808825-241817413	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA037394, HPA037395	Uncertain	NA	NA	NA	NA	Group enriched	Group enriched	6	bone marrow: 2.4;cerebral cortex: 6.3;colon: 8.3;duodenum: 5.6;liver: 4.1;rectum: 3.7;small intestine: 5.3	fallopian tube,gallbladder: 0.7	Group enriched	20	Hep G2: 26.3;HMC-1: 45.5	Colon
SLC17A4	KIAA2138	ENSG00000146039	Solute carrier family 17 member 4	6	25754699-25781191	Predicted membrane proteins, Transporters	Evidence at transcript level	HPA055564	Approved	NA	NA	NA	NA	Group enriched	Group enriched	6	colon: 20.4;duodenum: 28.6;gallbladder: 25.4;liver: 22.3;rectum: 28.9;small intestine: 35.0	pancreas: 4.2	Cell line enriched	5	RPTEC TERT1: 1.1	Colon
SPINK4	MGC133107, PEC-60	ENSG00000122711	Serine peptidase inhibitor, Kazal type 4	9	33218365-33248567	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA007286	Enhanced	NA	Approved	Nucleus<br>Golgi apparatus<br>Vesicles	Colorectal cancer:8.85e-5 (favourable)	Group enriched	Group enriched	6	colon: 631.8;duodenum: 266.4;rectum: 1071.3;small intestine: 734.5	appendix: 107.1	Cell line enriched	8	HMC-1: 152.9	Colon
TPH1	TPH, TPRH	ENSG00000129167	Tryptophan hydroxylase 1	11	18017564-18042426	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB010767, HPA022483	Enhanced	NA	Uncertain	Cytosol	NA	Mixed	Group enriched	6	colon: 8.8;duodenum: 10.2;rectum: 21.0;small intestine: 12.6;stomach: 15.5	prostate: 2.4	Mixed	NA	NA	Colon
TRIM31	C6orf13, HCG1, HCGI, RNF	ENSG00000204616	Tripartite motif containing 31	6	30102897-30113106	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA046400	Uncertain	NA	NA	NA	NA	Group enriched	Group enriched	6	colon: 10.0;small intestine: 2.3;stomach: 2.1;urinary bladder: 2.7	duodenum: 0.7	Cell line enriched	527	RT4: 232.7	Colon
URAD	PRHOXNB	ENSG00000183463	Ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase	13	27977714-27988654	Enzymes, Predicted intracellular proteins	Evidence at transcript level	HPA038972	Uncertain	NA	NA	NA	NA	Tissue enriched	Group enriched	6	colon: 12.6;duodenum: 8.3;small intestine: 17.9	appendix: 2.3	Group enriched	12	BEWO: 2.6;CACO-2: 2.1	Colon
ZG16	hZG16, JCLN, JCLN1, ZG16A	ENSG00000174992	Zymogen granule protein 16	16	29778240-29782973	Predicted secreted proteins	Evidence at protein level	HPA052066, HPA052512	Enhanced	NA	NA	NA	NA	Tissue enriched	Group enriched	6	colon: 363.4;rectum: 502.4;small intestine: 121.4	duodenum: 57.7	Cell line enhanced	NA	SK-BR-3: 1.7	Colon
B3GALT5	B3GalT-V, B3T5, beta3Gal-T5, GLCT5	ENSG00000183778	Beta-1,3-galactosyltransferase 5	21	39556442-39673137	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA054092, HPA054684	Approved	NA	NA	NA	Endometrial cancer:6.36e-4 (favourable)	Mixed	Group enriched	5	colon: 22.7;duodenum: 27.5;gallbladder: 8.6;rectum: 40.5;small intestine: 37.2	stomach: 5.0	Group enriched	5	CAPAN-2: 20.6;NTERA-2: 6.3;RPTEC TERT1: 20.7;SCLC-21H: 5.4	Colon
FOXA3	HNF3G	ENSG00000170608	Forkhead box A3	19	45863989-45873797	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB015154, HPA054034	Uncertain	NA	Approved	Nucleoplasm	NA	Mixed	Group enriched	5	colon: 16.7;duodenum: 10.3;liver: 32.5;pancreas: 9.8;rectum: 17.9;small intestine: 13.9;stomach: 33.8	gallbladder: 3.6	Cell line enhanced	NA	CACO-2: 8.4;HDLM-2: 11.2;Hep G2: 18.9;K-562: 20.1;NTERA-2: 10.8	Colon
IL22RA1	CRF2-9, IL22R	ENSG00000142677	Interleukin 22 receptor subunit alpha 1	1	24119771-24143121	Predicted membrane proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Mixed	Group enriched	5	colon: 11.3;duodenum: 20.2;esophagus: 10.1;pancreas: 26.1;rectum: 10.9;skin: 38.7;small intestine: 31.3	gallbladder: 4.0	Cell line enhanced	NA	CACO-2: 9.3;HaCaT: 4.5;Hep G2: 5.5	Colon
LRRC31	FLJ23259	ENSG00000114248	Leucine rich repeat containing 31	3	169839179-169869930	Predicted intracellular proteins	Evidence at protein level	HPA037548	Uncertain	NA	NA	NA	NA	Mixed	Group enriched	5	colon: 18.2;duodenum: 8.8;rectum: 24.3;small intestine: 11.0;stomach: 9.8	liver: 2.8	Cell line enhanced	NA	EFO-21: 1.8;HAP1: 1.4;RPTEC TERT1: 1.6	Colon
NOS2	HEP-NOS, iNOS, NOS, NOS2A	ENSG00000007171	Nitric oxide synthase 2	17	27756766-27800499	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB002014	Approved	NA	NA	NA	NA	Tissue enhanced	Group enriched	5	appendix: 18.9;colon: 7.0;duodenum: 12.3;rectum: 9.8;small intestine: 24.1;urinary bladder: 6.5	smooth muscle: 2.5	Group enriched	8	CACO-2: 13.0;SCLC-21H: 14.7	Colon
SATB2	FLJ21474, KIAA1034	ENSG00000119042	SATB homeobox 2	2	199269500-199471266	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001042, CAB023669, HPA029543, CAB062562, CAB067751, CAB068229, CAB068230, CAB068231	Enhanced	NA	Supported	Nucleoplasm	Renal cancer:5.37e-8 (favourable)	Tissue enhanced	Group enriched	5	cerebral cortex: 22.7;colon: 34.1;rectum: 43.2	small intestine: 6.3	Mixed	NA	NA	Colon
SULT1B1	ST1B2	ENSG00000173597	Sulfotransferase family 1B member 1	4	69721162-69787961	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA002107	Enhanced	NA	Approved	Nucleoplasm<br>Golgi apparatus	NA	Group enriched	Group enriched	5	colon: 68.9;duodenum: 99.0;rectum: 67.1;small intestine: 103.7;stomach: 41.6	appendix: 13.8	Group enriched	6	HUVEC TERT2: 92.0;TIME: 29.6;U-2197: 29.2	Colon
TRPM5	LTRPC5, MTR1	ENSG00000070985	Transient receptor potential cation channel subfamily M member 5	11	2404515-2423045	Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA042115, HPA043315	Uncertain	NA	NA	NA	NA	Tissue enhanced	Group enriched	5	colon: 1.0;duodenum: 2.9;epididymis: 2.2;seminal vesicle: 2.5;small intestine: 2.9	testis,thyroid gland: 0.4	Not detected	NA	NA	Colon
VIP	NA	ENSG00000146469	Vasoactive intestinal peptide	6	152750798-152759765	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA017324, CAB018649, HPA072701	Supported	NA	Approved	Endoplasmic reticulum	NA	Group enriched	Group enriched	5	appendix: 209.4;colon: 71.4;rectum: 68.3;small intestine: 52.7;smooth muscle: 58.1	duodenum: 16.8	Cell line enhanced	NA	SH-SY5Y: 2.8;TIME: 1.6	Colon
AC009133.22	NA	ENSG00000277669	NA	16	29663279-29695144	Predicted secreted proteins	Evidence at protein level	HPA011887	Uncertain	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	colon: 2.6;duodenum: 1.8;spleen: 1.0	lung: 0.4	Cell line enhanced	NA	BEWO: 44.0;EFO-21: 114.1;SH-SY5Y: 19.3	Colon
ADAMDEC1	M12.219	ENSG00000134028	ADAM like decysin 1	8	24384285-24406013	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Expressed in all	Tissue enhanced	NA	colon: 210.9;rectum: 339.7;small intestine: 476.3	duodenum: 189.1	Group enriched	7	U-266/70: 8.1;U-266/84: 1.9	Colon
AIFM3	AIFL, FLJ30473	ENSG00000183773	Apoptosis inducing factor, mitochondria associated 3	22	20965108-20981360	Predicted intracellular proteins	Evidence at protein level	HPA001271	NA	NA	Enhanced	Mitochondria	Urothelial cancer:7.13e-5 (favourable)	Tissue enhanced	Tissue enhanced	NA	cerebral cortex: 18.5;colon: 18.7	rectum: 9.0	Cell line enhanced	NA	Hep G2: 5.1;HMC-1: 9.5;T-47d: 5.0;THP-1: 5.1	Colon
ATP10B	ATPVB, FLJ21477, KIAA0715	ENSG00000118322	ATPase phospholipid transporting 10B (putative)	5	160563120-160852214	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA034574	Uncertain	NA	NA	NA	NA	Group enriched	Tissue enhanced	NA	colon: 36.0;rectum: 40.3	gallbladder: 21.4	Cell line enriched	23	WM-115: 13.6	Colon
B3GALT1	beta3Gal-T1	ENSG00000172318	Beta-1,3-galactosyltransferase 1	2	167868948-167874041	Enzymes, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	cerebral cortex: 5.2;colon: 3.7;rectum: 4.0	skeletal muscle: 1.8	Cell line enriched	7	AN3-CA: 33.1	Colon
B3GNT6	B3Gn-T6	ENSG00000198488	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	11	77034398-77041973	Enzymes, Predicted secreted proteins	Evidence at protein level	HPA012158, HPA039805	Enhanced	Approved	NA	NA	Colorectal cancer:2.31e-4 (favourable)	Group enriched	Tissue enhanced	NA	colon: 21.7;rectum: 18.2;stomach: 23.5	small intestine: 7.9	Not detected	NA	NA	Colon
B4GALNT2	Cad, GALGT2, Sda	ENSG00000167080	Beta-1,4-N-acetyl-galactosaminyltransferase 2	17	49132460-49176840	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA015721	Approved	NA	NA	NA	Renal cancer:1.29e-5 (favourable)	Mixed	Tissue enhanced	NA	colon: 33.3	rectum: 14.9	Mixed	NA	NA	Colon
BCL2L15	Bfk, C1orf178, FLJ22588	ENSG00000188761	BCL2 like 15	1	113878168-113887547	Predicted intracellular proteins	Evidence at protein level	HPA029732, HPA029733	Enhanced	NA	NA	NA	Endometrial cancer:5.63e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	colon: 47.4;duodenum: 66.5;rectum: 52.2;small intestine: 64.3	stomach: 24.0	Cell line enhanced	NA	CAPAN-2: 22.4;EFO-21: 8.1;RPTEC TERT1: 5.6	Colon
BEST2	FLJ20132, VMD2L1	ENSG00000039987	Bestrophin 2	19	12751702-12758458	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at transcript level	HPA046229	Approved	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	colon: 15.4;rectum: 14.8	tonsil: 4.5	Mixed	NA	NA	Colon
BEST4	VMD2L2	ENSG00000142959	Bestrophin 4	1	44783585-44787705	Predicted membrane proteins	Evidence at protein level	HPA058564	Uncertain	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	colon: 26.2;rectum: 21.3	duodenum: 11.3	Cell line enhanced	NA	Hep G2: 2.1	Colon
C15orf48	NMES1	ENSG00000166920	Chromosome 15 open reading frame 48	15	45430529-45448761	Predicted intracellular proteins	Evidence at protein level	HPA012943	Enhanced	NA	NA	NA	NA	Expressed in all	Tissue enhanced	NA	colon: 716.6;rectum: 832.9	small intestine: 330.3	Cell line enhanced	NA	A-431: 52.4;CAPAN-2: 96.3	Colon
C2orf72	LOC257407	ENSG00000204128	Chromosome 2 open reading frame 72	2	231037490-231049719	Predicted intracellular proteins	Evidence at protein level	HPA044962	Uncertain	NA	Approved	Nucleus<br>Plasma membrane	Renal cancer:4.74e-4 (unfavourable), Pancreatic cancer:5.27e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	cerebral cortex: 2.8;colon: 2.9;liver: 4.7	stomach: 1.3	Cell line enhanced	NA	BEWO: 8.2;CACO-2: 1.7;EFO-21: 2.9	Colon
CA2	CA-II, CAII, Car2	ENSG00000104267	Carbonic anhydrase 2	8	85463852-85481493	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001550, CAB010102	Enhanced	NA	NA	NA	Renal cancer:5.57e-6 (favourable)	Expressed in all	Tissue enhanced	NA	colon: 604.8;rectum: 627.5;stomach: 918.8	kidney: 308.3	Group enriched	11	HaCaT: 204.1;HEK93: 884.1;THP-1: 278.7	Colon
CA4	CAIV, Car4, RP17	ENSG00000167434	Carbonic anhydrase 4	17	60149936-60170899	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA011089, HPA017258	Enhanced	NA	Supported	Vesicles	NA	Mixed	Tissue enhanced	NA	colon: 253.5;rectum: 180.9	adipose tissue: 88.7	Not detected	NA	NA	Colon
CA7	NA	ENSG00000168748	Carbonic anhydrase 7	16	66844379-66854153	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA047237	Uncertain	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	colon: 54.6;rectum: 49.8	small intestine: 10.7	Cell line enhanced	NA	REH: 1.0;SCLC-21H: 1.0;THP-1: 1.2	Colon
CDC42EP5	Borg3, CEP5	ENSG00000167617	CDC42 effector protein 5	19	54465026-54473264	Predicted intracellular proteins	Evidence at protein level	HPA043449	Approved	NA	NA	NA	Renal cancer:2.79e-5 (unfavourable), Urothelial cancer:1.36e-4 (favourable)	Expressed in all	Tissue enhanced	NA	colon: 3.1;prostate: 2.4	adipose tissue: 0.9	Not detected	NA	NA	Colon
CEACAM1	BGP, BGP1, CD66a	ENSG00000079385	Carcinoembryonic antigen related cell adhesion molecule 1	19	42507304-42561234	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB002146, HPA011041	Enhanced	NA	NA	NA	Endometrial cancer:6.32e-7 (favourable)	Mixed	Tissue enhanced	NA	colon: 202.3;rectum: 130.6	esophagus: 46.5	Cell line enhanced	NA	CAPAN-2: 25.2;Hep G2: 56.7;RT4: 43.1;SK-MEL-30: 47.4	Colon
CEACAM5	CD66e, CEA	ENSG00000105388	Carcinoembryonic antigen related cell adhesion molecule 5	19	41708585-41729798	Cancer-related genes, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB000021, CAB000022, HPA011041, HPA019758	Enhanced	NA	Supported	Plasma membrane	NA	Tissue enhanced	Tissue enhanced	NA	colon: 1012.7;rectum: 1086.0	appendix: 257.7	Cell line enriched	6	HaCaT: 11.8	Colon
CES3	ES31, FLJ21736	ENSG00000172828	Carboxylesterase 3	16	66961237-66975148	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA041008, HPA041307	Approved	NA	Approved	Nuclear membrane<br>Endoplasmic reticulum	Liver cancer:7.26e-5 (favourable)	Mixed	Tissue enhanced	NA	colon: 37.2;duodenum: 30.5;rectum: 34.1	small intestine: 26.6	Cell line enhanced	NA	AN3-CA: 7.1	Colon
CH17-360D5.1	NA	ENSG00000264717	NA	10	47918739-47923524	Predicted membrane proteins	Evidence at transcript level	HPA027863	Uncertain	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	colon: 3.0;rectum: 2.4	skin: 2.0	Cell line enriched	12	A549: 17.8	Colon
CKMT1B	CKMT, CKMT1, UMTCK	ENSG00000237289	Creatine kinase, mitochondrial 1B	15	43593054-43604901	Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	HPA043491	Uncertain	NA	NA	NA	Endometrial cancer:2.55e-5 (unfavourable)	Mixed	Tissue enhanced	NA	colon: 78.0;rectum: 68.4	duodenum: 63.0	Cell line enhanced	NA	HaCaT: 120.7;SCLC-21H: 60.9;SK-BR-3: 124.3;T-47d: 91.0	Colon
CLDN23	CLDNL	ENSG00000253958	Claudin 23	8	8701938-8704106	Predicted membrane proteins, Transporters	Evidence at protein level	HPA070578	NA	NA	Uncertain	Nucleus<br>Plasma membrane	Renal cancer:9.65e-8 (favourable), Colorectal cancer:3.46e-4 (favourable)	Expressed in all	Tissue enhanced	NA	colon: 23.7;stomach: 24.5	small intestine: 16.5	Cell line enhanced	NA	BEWO: 7.4	Colon
CLDN3	C7orf1, CPE-R2, CPETR2, HRVP1, RVP1	ENSG00000165215	Claudin 3	7	73768997-73770270	Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB002702, HPA014361	Supported	NA	Supported	Cell Junctions	Renal cancer:3.39e-5 (favourable)	Mixed	Tissue enhanced	NA	colon: 87.7;small intestine: 119.5	duodenum: 55.0	Cell line enhanced	NA	MCF7: 175.3;PC-3: 44.1;SCLC-21H: 68.2;T-47d: 98.9	Colon
CTC-273B12.7	NA	ENSG00000268465	NA	19	48465837-48472431	Predicted intracellular proteins	Evidence at transcript level	HPA060662	NA	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	colon: 1.1;endometrium: 1.3;testis: 2.8	small intestine: 0.6	Cell line enhanced	NA	AN3-CA: 1.0;LHCN-M2: 1.1;U-698: 1.2	Colon
DHRS9	3alpha-HSD, RDH15, RDHL, RETSDR8, SDR9C4	ENSG00000073737	Dehydrogenase/reductase 9	2	169064789-169096167	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA036491, HPA036667	Approved	NA	NA	NA	Pancreatic cancer:2.73e-4 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	colon: 66.5;rectum: 48.1	esophagus: 30.1	Cell line enhanced	NA	NB-4: 21.6;THP-1: 66.4;TIME: 35.4;U-2197: 29.3	Colon
